author,commits,prs,comments,reviews,raw_score,score,tier,overall_rank,tier_rank,percentile
abhijeets25012-tech,2,11,12,0,144,100,active,416,94,95.13
ahidalgob,0,5,42,3,143,100,active,418,95,95.11
sunkickr,0,11,16,0,142,100,active,419,96,95.07
dnskr,0,13,6,0,142,100,active,419,96,95.07
pcandoalmeida,0,9,26,0,142,100,active,419,96,95.07
AetherUnbound,0,14,1,0,142,100,active,419,96,95.07
argibbs,0,7,36,0,142,100,active,419,96,95.07
dacort,0,5,46,0,142,100,active,419,96,95.07
LipuFei,0,11,16,0,142,100,active,419,96,95.07
xnuinside,0,14,0,0,140,100,active,426,103,94.98
IKholopov,0,9,25,0,140,100,active,426,103,94.98
dejii,0,11,15,0,140,100,active,426,103,94.98
harjeevanmaan,0,12,10,0,140,100,active,426,103,94.98
asnir,10,9,0,0,140,100,active,426,103,94.98
danielvdende,0,14,0,0,140,100,active,426,103,94.98
onestn,0,13,5,0,140,100,active,426,103,94.98
Abhishek-kumar-ISM,0,12,10,0,140,100,active,426,103,94.98
JCoder01,7,10,2,0,139,100,active,434,111,94.92
odaneau-astro,1,10,17,0,139,100,active,434,111,94.92
gaurav7261,6,7,19,0,138,100,active,436,113,94.9
Jakub Dardzinski,27,0,0,0,135,100,core,437,319,94.87
bangjiehan,9,9,0,0,135,100,active,437,114,94.87
Patrick Leo Tardif,27,0,0,0,135,100,core,437,319,94.87
Rimas Silkaitis,27,0,0,0,135,100,core,437,319,94.87
arjav1528,0,11,12,0,134,100,active,441,115,94.84
uplsh580,0,13,2,0,134,100,active,441,115,94.84
rohan472000,0,10,15,1,133,100,active,443,117,94.81
FHoffmannCode,1,3,49,0,133,100,contributor,443,3,94.81
atrbgithub,5,9,9,0,133,100,active,443,117,94.81
ad-m,0,3,51,0,132,100,contributor,446,4,94.78
drajguru,0,12,3,2,132,100,active,446,119,94.78
csp33,0,11,9,1,131,100,active,448,120,94.76
Owen Leung,26,0,0,0,130,100,core,449,322,94.68
Syed Hussaain,26,0,0,0,130,100,core,449,322,94.68
IAL32,0,10,15,0,130,100,active,449,121,94.68
ricky-chaoju,0,11,10,0,130,100,active,449,121,94.68
Vikram Koka,26,0,0,0,130,100,core,449,322,94.68
marengaz,8,9,0,0,130,100,active,449,121,94.68
jieyao-MilestoneHub,0,7,30,0,130,100,active,449,121,94.68
Kalyan,26,0,0,0,130,100,core,449,322,94.68
andreahlert,0,11,10,0,130,100,active,449,121,94.68
YingboWang,0,9,20,0,130,100,active,449,121,94.68
Noremac201,0,13,0,0,130,100,active,449,121,94.68
Bhavani Ravi,26,0,0,0,130,100,core,449,322,94.68
Constance Martineau,26,0,0,0,130,100,core,449,322,94.68
apilaskowski,0,7,30,0,130,100,active,449,121,94.68
tnk-ysk,7,8,7,0,129,100,active,463,129,94.58
dzhigimont,0,8,23,1,129,100,active,463,129,94.58
joppevos,0,9,19,0,128,100,active,465,131,94.56
akki,0,7,29,0,128,100,active,465,131,94.56
fweilun,7,8,6,0,127,100,active,467,133,94.54
csm10495,0,10,13,0,126,100,active,468,134,94.52
aaron-wolmutt,0,8,23,0,126,100,active,468,134,94.52
EricGao888,0,11,8,0,126,100,active,468,134,94.52
